<<<<<<< HEAD
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0.03203868,-0.015958396,-0.032523328,0.014079828,0.053411752,-0.077129327,-0.021261402,-0.025895925,0.066481687,0.010535555,-0.056752751,0.010379891,0.018961282,-0.054118711,0.051756293,0.068919104,0.001219714,-0.07193856,-0.013171848,-0.006919731,0.078851028,-0.045239673,0.002860931,0.058160877,-0.005317552,-0.022368666,-0.014193232,0.018218808,-0.042321366,-0.007399082,-0.029338774,0.017194834,0.00818053,-0.000514253,-0.055671106,-0.007208965,-0.011308963,0.006757652,-0.057589281,-0.035383289,-0.024181764,-0.019041697,-0.077186849,-0.024342965,0.006118222,-0.023938407,-0.044399741,-0.029148461,0.111419658,0.075485168,0.115247063,0.022394723,0.051097299,-0.055739533,-0.031076153,-0.035940752,0.063886596,-0.018605995,0.047748455,0.074084401,-0.099487895,-0.065656715,-0.016354757,0.065800379,0.025891961,0.004346314,-0.012709405,-0.086827109,-0.070207668,0.071041038,-0.05737026,0.04694036,-0.112210396,0.128756873,-0.062068617,-0.036434056,-0.015261039,0.028586055,-0.020052837,0.104645438,0.243344154,0.047262172,0.064790231,-0.162760668,0.170224834,-0.174247535,0.118144596,-0.000677347,0,-0.403835495,-0.205253592,-0.419805512,0.523645609,0.71712542,0,0,0.764167097,0,0,0
-0.016340165,-0.015649557,0.000304,0.004670092,0.000641298,-0.039139958,0.004870888,0.03428198,-0.057816173,-0.031364177,0.009719776,0.046776967,-0.00754457,0.032216973,0.002091464,-0.026733892,0.034226808,0.018834518,-0.021229347,0.017730785,-0.049258111,-0.004318339,0.012325919,0.018825237,0.018076914,-0.007590651,-0.013168821,0.004699318,-0.045617979,-0.025482476,0.009803602,0.023439719,-0.013622308,-0.001710176,0.023377505,-0.058196848,0.065736501,2.46e-06,0.006400489,0.007945004,-0.057232926,0.077217772,-0.089955709,0.05715718,0.000346389,0.012259387,0.022005284,-0.014325722,-0.025447659,-0.022411182,-0.055389062,0.021366601,0.012739168,-0.015523369,0.00010132,0.0088957,-0.034614598,0.036319113,0.008480633,0.053505436,0.034209749,-0.020398465,-0.036545868,0.013832927,-0.047299395,0.005371324,-0.028728371,0.050041319,0.108010811,0.115775744,0.081400105,-0.014325948,0.036589083,-0.007973825,0.091908827,0.01346554,0.027766378,0.078961435,-0.006159869,0.047508657,-0.022389331,0.028426844,0.018866177,0.007439934,0.076352328,0.010955166,-0.021798292,-0.063392909,-0.010286062,0.102092763,0.003539329,-0.125106794,0.129840133,1.059065343,-0.366640599,-1.094647383,0.217977763,0,9.165317169,0
-0.015223315,-0.030888579,0.037098676,-0.062606133,-0.02185545,0.097845721,0.027545387,-0.020644455,0.120524075,-0.016154292,0.040747486,0.057079723,0.00525278,-0.049674939,0.029920214,-0.000980955,-0.030148455,-0.004213101,0.076985273,-0.100900539,0.073020399,0.105242477,0.032344517,-0.07878643,-0.085358393,-0.050981566,0.029500147,0.018928703,0.045965393,-0.056054435,0.019312181,-0.030192832,0.008567908,-0.010270625,-0.049179836,0.036944608,-0.099347723,-0.059951545,-0.048306083,0.067627409,0.043420179,0.071491133,-0.079717105,-0.066845127,-0.061953799,-0.066125295,0.018316319,-0.001448196,0.076365888,-0.089384459,-0.001766515,0.087197353,-0.056362658,0.05477473,-0.014012205,-0.053826399,-0.018441174,-0.015824595,-0.071442937,0.059983976,-0.004666174,0.164163493,9.35e-05,0.016030633,0.014612005,-0.025556884,-0.067489808,0.05437614,0.011279563,-0.050919254,-0.129218723,0.079763145,-0.08023868,0.210934654,0.05686557,0.129427868,-0.068794118,-0.116782397,-0.069545258,-0.00075703,-0.069086123,0.106479914,-0.271068798,-0.062519181,-0.029545321,-0.057149719,0.008673265,-0.025469433,-0.127411903,0.107262845,0.238494776,0.032898348,-0.003211851,0.182834243,-0.440810045,-0.027437555,0,0.839871612,8.017564283,0
0.036029282,0.018300616,-0.021915987,0.002829607,0.034587516,-0.069376497,-0.040298632,0.08046031,-0.005700702,-0.008385356,0.035929234,0.009728902,0.019035418,-0.043842729,0.07886106,-0.056380242,0.017076752,-0.061497543,-0.042474673,0.001578211,0.033537906,0.041814271,-0.068236255,0.004072025,0.051847728,0.031775536,-0.040707467,-0.040372084,0.017977247,-0.03216859,-0.034845053,0.004742222,0.000918046,-0.038886194,-0.003957787,0.059917536,0.023173488,-0.036489554,0.025135368,-0.042711775,-0.033705205,-0.082608006,0.013344161,-0.054916852,-0.010448401,-0.011711837,-0.12358835,0.083623687,0.00677575,-0.011200468,-0.018709598,0.073631323,-0.089987728,0.049149624,-0.152482525,-0.024506048,0.093256406,0.082613991,-0.003697814,0.068573513,0.028435286,0.054398023,-0.005441957,-0.060775671,0.115879842,0.036199675,-0.066793751,-0.088283847,0.038994804,-0.004589784,0.136773056,0.095005557,-0.066256965,0.097275209,0.064475289,-0.02389848,0.066928761,-0.035507193,0.034167067,0.069153154,0.041083863,-0.165704622,0.185812097,0.058342258,0.043028732,-0.282206437,-0.063254853,-0.111213018,-0.300334072,0.092451594,0.349710394,-0.42018897,0.01934274,0.309000272,0.213485049,-0.062318459,0,0.071553486,0,0
-0.031304504,-0.02701355,-0.018017114,0.031775314,0.013902647,-0.115076589,0.035116162,0.0528773,0.004615336,-0.028622471,-0.050866943,0.002842047,0.042896714,-0.037847651,0.029492405,-0.041285017,0.118446985,0.041782122,0.012944002,-0.038118493,-0.070706448,0.03293314,-0.088124237,0.068766821,-0.004673809,0.053165029,0.055091302,0.049009077,-0.047859749,0.082081336,-0.024893595,-0.017265201,0.050026461,0.048661568,-0.064678044,0.070268622,-0.031972524,0.034741404,-0.072735048,0.010823469,0.007181443,0.016860621,-0.08219912,0.069064514,0.000170098,0.015325694,0.070026223,0.032736363,0.068008805,0.023982507,-0.039015594,0.06180397,-0.097963577,-0.00518465,0.052919323,-0.060880927,-0.014242357,0.011390975,0.012356567,-0.064202165,-0.028268929,0.010759912,0.15057018,0.096580519,-0.002531353,-0.019440804,0.071614218,-0.037821704,-0.007108683,0.237249831,0.021174203,-0.103171296,-0.00691296,0.079449559,-0.122555965,-0.241195833,0.120313745,0.008637938,-0.135276025,-0.113970254,-0.050900829,0.006276862,0.011838954,-0.13444314,-0.1083558,0.159928558,-0.007610999,-0.061407673,-0.064127621,-0.186812035,0.100477505,0.072941887,-0.058921854,-0.07044716,-0.056272201,-0.015790248,-0.228938975,0,0,0
-0.021331014,-0.0055016,-0.042686852,0.037024658,-0.048356054,-0.015052316,-0.062459234,-0.065633745,-0.033411203,-0.089370768,-0.101819282,-0.00510648,-0.03743444,-0.013111341,-0.069007409,0.074988958,0.029297246,0.040391692,0.015190049,0.030174706,0.035565126,0.033239321,-0.009237103,0.006174143,-0.106186282,0.076622114,0.050120322,0.091676715,-0.119325765,-0.057965578,0.069015067,-0.046366467,0.003440187,0.042280603,0.022070076,-0.04053367,-0.141649933,-0.026286482,0.095235998,0.098533379,-0.049239322,0.035006245,-0.085967293,0.098192756,0.039508096,-0.090612845,-0.003711014,0.047644243,-0.057078818,0.084204355,0.013286562,-0.136211943,0.151769201,-0.017292677,-0.014941772,0.040391091,-0.034746281,0.076640821,0.026218158,-0.120113947,-0.057577626,0.040674652,0.111133928,-0.16147162,0.117678103,0.103786706,-0.055492159,0.010267205,0.167358553,-0.087328522,0.010257909,0.015165639,0.04539249,0.034037973,0.190041027,-0.064718142,0.005485535,-0.118755283,0.078784461,0.017096007,0.012530855,0.097558653,-0.30128751,0.027874072,0.108318794,0.106540338,0.00466438,-0.283465251,-0.133474943,0.118611412,0.185350196,0.064431161,0.333233445,0.140842212,-0.261025967,0,0,-1.441270918,0,0
-0.119973498,0.05548012,-0.02074844,0.086423372,-0.093151377,-0.010243439,0.004066494,0.009955543,0.009079068,-0.051136749,-0.021606532,-0.057715931,-0.062807215,-0.068305844,-0.029184251,-0.025720336,0.001124092,-0.106956722,-0.012788924,-0.034571678,0.020854539,0.108141505,0.039981006,-0.001565792,-0.065407424,0.004020609,0.002325668,-0.015856614,-0.043015186,0.038911943,0.022945024,0.029638301,-0.01085832,-0.073326943,0.021921825,0.142690235,-0.0141028,-0.02715444,0.066198232,-0.042063679,0.091723491,0.133267186,0.060100658,-0.010031857,-0.097046882,0.121780758,0.064340686,-0.030953658,-0.038074305,-0.075407609,-0.117127013,0.180244851,0.121930605,0.035347213,0.077021773,0.001966113,0.05781155,0.057299381,0.235617127,-0.121825602,-0.054168753,0.141469779,-0.111303204,-0.001858078,-0.068071329,-0.033525867,-0.078510965,0.036444384,0.14370912,-0.052092499,-0.052248586,0.036163714,-0.138467971,0.034312743,-0.065189967,-0.093355339,-0.094350917,-0.148578955,0.039242547,-0.064141202,-0.120536299,0.211047448,-0.091279655,-0.006822242,-0.052889273,0.069054589,0.507186331,-0.391711971,-0.425439278,-0.298119355,0.507099758,0.567855047,0,0.540193383,0.527589626,0,-0.30112173,0,0,0
-0.07758105,-0.032854926,0.054741502,-0.037764054,0.097655619,-0.041667217,0.067320223,0.039120315,-0.034426851,0.006510201,0.021770429,-0.006000214,0.007963597,0.046991199,0.068189791,-0.043066687,-0.033863464,0.07413212,-0.015198334,-0.025990874,-0.005344479,-0.011223938,-0.073393528,-0.060126446,0.020427957,-0.034282984,-0.027479088,0.064421983,-0.000653358,-0.074169329,0.073717884,0.08982362,-0.068264887,0.016419076,-0.07030015,0.050541161,0.019006343,-0.11620135,-0.041308942,0.121777515,0.053395626,-0.065620843,0.036600486,0.064835678,-0.073277815,-0.01067271,-0.03651867,0.074467612,-0.007483719,-0.036675154,0.036281581,0.028578199,0.033833134,-0.003887043,0.144360561,-0.010369057,0.015268222,-0.088750378,-0.049824727,0.073459111,0.02603163,-0.008111251,0.041081348,-0.043888805,0.021310529,-0.088916777,-0.086672146,0.138201201,-0.039739683,0.032714478,0.045477372,-0.034548763,0.014970019,-0.101075698,0.031811343,0.11684032,-0.050572537,0.063541646,0.059913833,0.091256766,-0.001550623,-0.099223794,-0.036917928,-0.11374031,-0.240159424,0.188028701,0.016467433,-0.141162908,0.066381936,0.32093674,-0.267375774,-0.095341254,0.214433172,-0.008256995,-0.315033508,0.038675894,-0.044051298,0,0,0
0.012910509,-0.013123525,-0.014336867,-0.010050905,0.090848694,0.025706163,-0.050538346,0.031848976,0.042693614,-0.004256119,0.012309296,-0.013672357,0.018963484,-0.03894083,0.037864882,-0.02721628,0.004520578,0.034153982,-0.002983384,0.065894888,-0.067299122,0.003641469,0.048520782,-0.071698458,0.036815806,0.003947187,0.003553219,-0.01292189,-0.036265146,-0.023457455,0.011542977,-0.030926843,-0.046496967,-0.016454171,0.010357859,0.013072214,0.034816262,-0.017160629,0.068382325,-0.026177162,0.009439247,-0.00409112,0.039306006,0.014659567,0.008188889,-0.006240067,0.002712666,0.07522157,0.058685585,0.055948323,-0.001376952,-0.014436371,0.024877635,-0.013445066,0.003233865,0.023105532,0.018285994,0.01505281,-0.040796042,0.068017913,-0.088411354,-0.018597316,-0.049928523,-0.024413935,0.033102047,-0.033953694,-0.024481757,-0.074927996,-0.046723356,-0.057218877,0.017549805,0.000591526,-0.084532054,-0.046164417,-0.035348378,-0.009235502,-0.103052848,0.015019001,-0.081026582,-0.052880106,-0.040282371,0.050291853,0.092199564,0.08809585,-0.064467854,0.043090606,0.109557991,0.109042427,0.833716986,-0.440310313,0.250977216,0.722952727,0.112073039,0.19934025,0.103897751,-1.686784941,-3.154997657,-3.529861214,-6.223531392,0
0.048482698,0.039854531,0.020412959,-0.054246784,-0.020490088,-0.006722938,-0.055461315,0.095424147,-0.002153863,-0.059514287,-0.03030603,-0.009123895,0.018444256,-0.011638979,-0.011189399,0.008809819,0.018274208,-0.039452983,0.014589143,0.030847555,0.065111182,0.050925352,-0.006550482,-0.064856718,-0.012390093,0.001199707,0.078909575,-0.063145441,-0.006009586,-0.004564225,-0.031527339,-0.0128684,-0.049838992,0.131195077,-0.02877,0.013757977,-0.065613595,-0.026442475,0.060779067,-0.080937611,0.024909671,0.012183633,-0.008319034,0.02193725,0.010421094,0.045159442,-0.064032483,0.011329755,-0.002630767,0.04004956,-0.035767185,-0.069019388,-0.005414834,-0.054699479,0.026591872,-0.027777357,-0.022259567,0.029112969,-0.02914568,0.092675129,0.112967573,0.13287825,0.036646791,-0.051553407,0.131557123,0.01995017,0.113815303,-0.090906536,-0.069921084,-0.125556944,-0.244771384,0.008351317,0.045291483,-0.131527349,0.017094315,-0.012578883,-0.018175459,-0.073284546,-0.02773454,-0.049474716,0.269087168,-0.000616534,0.036062376,-0.011673418,-0.010986074,-0.019614964,0.062091798,0,-0.059613808,-0.084749342,0.041263598,-0.420279326,0.092187864,0.179916308,0,0.041835841,0.745928573,0,0,0
