<<<<<<< HEAD
"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0.036880764,0.049730588,0.063673472,0.06336934,0.061640346,0.089848904,0.104699504,0.109317779,0.108435457,0.121530832,0.134127233,0.147927573,0.134530974,0.147263247,0.163416227,0.195639727,0.216255057,0.23069987,0.252838467,0.283347349,0.282570309,0.255770842,0.289995919,0.280002317,0.322216375,0.320240413,0.279392755,0.269314106,0.264530471,0.241634781,0.25705557,0.277958189,0.273202819,0.289851168,0.3143054,0.309521906,0.325203601,0.305686118,0.294951813,0.303154634,0.323977435,0.327197926,0.322900088,0.331795511,0.335412515,0.35654808,0.362567875,0.354336524,0.363899351,0.370644468,0.451742545,0.451359862,0.488707317,0.507578342,0.503121348,0.54553367,0.559191066,0.567350436,0.660645897,0.667096865,0.645634054,0.642104914,0.694403962,0.656801159,0.655295018,0.643122018,0.684018728,0.643609695,0.616931959,0.656760682,0.675600193,0.706210045,0.693307867,0.727059004,0.746962752,0.745806567,0.715485656,0.726419626,0.715993012,0.757978263,0.856780298,0.924167755,0.99753156,0.939176162,0.9971409,0.956031199,0.990615909,1.024081035,0,0.991751948,1.022753571,1.114615753,1.753545547,2.744254841,0,0,4.302448131,0,0,0
0.018884785,0.026966683,0.036835687,0.038809087,0.041278399,0.053950835,0.063537557,0.062617165,0.067992322,0.07289789,0.079174367,0.080513252,0.083016994,0.097612086,0.106437303,0.1184804,0.132971323,0.137517157,0.157767988,0.166798389,0.166360384,0.147111115,0.150658551,0.220086325,0.246925785,0.216780448,0.194190839,0.211948315,0.195827701,0.205544813,0.231224238,0.229408447,0.247992367,0.223270064,0.30103215,0.296145424,0.32248869,0.387581327,0.455252381,0.411812696,0.380531787,0.38868103,0.39783587,0.452648142,0.499685309,0.501296756,0.56553876,0.521432292,0.504974817,0.467713573,0.447169505,0.496491973,0.446587581,0.475317555,0.425733034,0.379399409,0.360680383,0.387659894,0.426077163,0.434769033,0.473733953,0.459823911,0.442265226,0.475161334,0.490202284,0.540267889,0.515188341,0.5560433,0.577029223,0.613694086,0.667588578,0.739563586,0.709763397,0.690355976,0.739242819,0.761921987,0.795240175,0.833064787,0.849219704,0.879603,0.865193856,0.888127564,0.922671357,0.949654557,1.011813308,1.03587476,1.060059425,1.030867134,1.050160625,1.096737147,1.121557221,1.437833463,1.442797791,2.216510877,2.143959161,2.959588909,4.409771839,0,41.68976209,0
0.026977365,0.053275319,0.078691915,0.099391641,0.120302159,0.124323681,0.146223057,0.16132657,0.165025247,0.196862506,0.2087574,0.216891193,0.238082068,0.278678081,0.274089635,0.2615419,0.257336533,0.265333254,0.297739554,0.287600354,0.303786506,0.338972815,0.380471922,0.389184542,0.41138098,0.409786424,0.453855548,0.510134718,0.524508893,0.542518363,0.528363554,0.505162223,0.538152831,0.56238012,0.562112852,0.551269988,0.569225678,0.564081789,0.563838418,0.574850543,0.544378742,0.579095579,0.603878998,0.577978264,0.574268451,0.601013407,0.615639329,0.611693322,0.620327709,0.650989646,0.664609481,0.685434468,0.700458813,0.686092635,0.662017119,0.661644171,0.679148085,0.668276955,0.714502089,0.708524672,0.680891122,0.743123175,0.787987986,0.808523396,0.780964406,0.817468258,0.83064097,0.797121526,0.80404008,0.801206084,0.795526285,0.864020624,0.833752349,0.906383682,0.992520929,0.919831688,0.922491292,0.917228825,0.893140294,0.843544267,0.888455894,1.004012226,0.921106943,0.978222294,1.06149224,1.038970489,1.064131368,1.012406609,0.987031054,1.047644018,1.107930617,1.096677709,1.092223887,1.18300133,1.128690944,1.160930527,0,1.926406497,64.66272658,0
0.039420207,0.060768285,0.065592033,0.05356202,0.074533231,0.084958134,0.104090362,0.119860093,0.138178928,0.123286942,0.110488305,0.114685698,0.122999537,0.142097706,0.165865444,0.167082968,0.177551331,0.173674447,0.185370449,0.206353,0.223847648,0.240300072,0.244440331,0.250104861,0.24872715,0.28766799,0.276439406,0.282442411,0.33260437,0.32001144,0.383047969,0.451215513,0.556050944,0.531805075,0.486962351,0.539584017,0.575802096,0.608582768,0.585163616,0.588011239,0.54973488,0.527763051,0.58305814,0.58702251,0.570760821,0.515877407,0.529368199,0.479392907,0.554466737,0.510677493,0.576390339,0.609889889,0.604355807,0.552392443,0.565726537,0.567240234,0.573949746,0.525673316,0.551902147,0.529702443,0.58701218,0.566413743,0.606967522,0.587976953,0.654893133,0.652501999,0.716488894,0.696370168,0.661535231,0.713942736,0.687471209,0.705565954,0.706694463,0.790023388,0.838792854,0.842183495,0.895038485,0.900720977,0.943716109,0.977335367,0.99234812,0.996025592,1.064745642,1.122668385,1.195248409,1.123171489,1.145616415,1.143068369,1.176234936,1.229431702,1.421581546,1.47345056,1.411620249,1.387481612,1.50010517,1.670871114,0,1.6235236,0,0
0.026817586,0.045044012,0.061248408,0.074681004,0.095097652,0.120331355,0.153086124,0.179076857,0.169306096,0.182730513,0.207352475,0.223068178,0.215021107,0.214987952,0.21873462,0.222540529,0.216036697,0.224165163,0.248395696,0.234561005,0.264014207,0.271692772,0.268237887,0.255562497,0.265075911,0.277668113,0.284995351,0.289459138,0.293022712,0.298469115,0.308181521,0.309015048,0.323948473,0.330442543,0.356398305,0.383034926,0.370623131,0.383383606,0.399713112,0.409079867,0.425516362,0.452837674,0.461568941,0.470296782,0.528873962,0.547761137,0.549210335,0.537905731,0.546263177,0.54975158,0.555801868,0.567459951,0.573221878,0.5879719,0.576628134,0.582103285,0.593206025,0.606530009,0.631404885,0.602611648,0.605349774,0.613769805,0.650183305,0.701094536,0.774506064,0.788726373,0.780843821,0.802472202,0.797658174,0.8538028,0.854378211,0.866677873,0.8875747,0.947128034,0.924628192,0.901354128,0.992490505,1.025637755,1.029736923,1.010898456,0.974253884,0.972023339,0.944886436,0.931038752,0.923801832,0.979268263,1.003655885,0.990486064,0.987492831,1.013245691,1.038326882,1.108076654,1.072985227,1.051582701,1.038229005,1.034444647,1.009367324,0,0,0
0.041462682,0.076145861,0.093937039,0.102524942,0.120449715,0.132894192,0.174035341,0.199368167,0.208106845,0.238279898,0.309936362,0.31238455,0.358152371,0.375241983,0.409687288,0.359517993,0.330947312,0.329601329,0.330156102,0.327859679,0.374868856,0.337725543,0.396430002,0.414782624,0.464643216,0.503936061,0.443458693,0.403497449,0.464822877,0.523270836,0.572666339,0.545750598,0.554882105,0.566283566,0.547226648,0.577701021,0.625773196,0.705006749,0.642597531,0.66208314,0.675876314,0.692593197,0.717682239,0.756558011,0.814779859,0.850351157,0.864281677,0.798212128,0.928224038,0.909772093,0.900436114,1.02307672,0.941389428,0.905762222,0.935335819,0.848497929,0.87693628,0.814500526,0.831912786,0.873172739,0.89698016,0.987193737,0.994894641,1.08328754,1.087378909,0.975115264,0.944699932,1.04552069,0.964475465,0.98158491,0.93085306,1.018861029,1.023577917,0.997527893,1.043302138,1.054156081,1.140923052,1.157855081,1.172424214,1.160112139,1.172470958,1.180903793,1.15406379,1.168553808,1.195497743,1.277392492,1.409195064,1.421602812,1.434900175,1.345724563,1.349532737,1.450795063,1.436069636,1.522745215,1.509220631,0,0,5.194478923,0,0
0.068568449,0.080872872,0.106240825,0.113129206,0.124457202,0.140904588,0.164190912,0.171338382,0.1946627,0.209320464,0.215327748,0.240724523,0.288861543,0.291038088,0.312289882,0.338735774,0.363866678,0.383972354,0.373521449,0.39214833,0.388256352,0.345488419,0.369309654,0.352990897,0.378215917,0.376188108,0.398777758,0.434436813,0.449497167,0.420045643,0.455646139,0.492871175,0.460772423,0.528718964,0.543973976,0.578468795,0.569553742,0.524359302,0.532194681,0.562781694,0.614567291,0.675591017,0.642672651,0.702192585,0.692811152,0.675715145,0.663885871,0.640838253,0.636639902,0.632506141,0.614827802,0.602779015,0.606144024,0.615430889,0.634561733,0.625654838,0.655368243,0.68586955,0.761133803,0.74938677,0.782315075,0.865439432,0.829505223,0.83716759,0.869911252,0.870052643,0.854685791,0.920931848,0.959372481,0.936188296,0.994235487,1.066439513,1.008499675,1.014207417,0.986945178,0.969387357,0.992278009,1.003994072,1.023966142,1.073537409,1.047068371,1.166438112,1.210879256,1.253417588,1.268124281,1.326326894,1.373396146,1.271318017,1.313717494,1.304466236,1.66380132,1.978580414,0,2.148906913,2.16800761,0,2.139468017,0,0,0
0.038250246,0.050211499,0.061179545,0.074475561,0.075381087,0.080835747,0.109062718,0.113681728,0.115500711,0.138694848,0.120844391,0.124250426,0.157429267,0.201870756,0.231816319,0.262792651,0.241123541,0.307662245,0.293363415,0.284856558,0.264444212,0.241468348,0.235379031,0.2398967,0.259668818,0.264478557,0.281894183,0.292920647,0.307661373,0.312756079,0.278849561,0.259643483,0.268961249,0.273525468,0.281276338,0.300637669,0.301959986,0.322670496,0.337060132,0.330703488,0.329436724,0.331432271,0.324780907,0.34315544,0.341535855,0.380992162,0.378501753,0.413419493,0.407943562,0.408096295,0.4113574,0.430708296,0.446872145,0.453683427,0.483536538,0.524930879,0.506973167,0.486624332,0.482099609,0.503322376,0.56923092,0.552637425,0.570801521,0.538449215,0.573387336,0.548848537,0.535734353,0.582506681,0.578445903,0.607095458,0.640952881,0.639630418,0.658788163,0.627481763,0.641618789,0.678179389,0.69058708,0.730813562,0.739294715,0.758767466,0.746836346,0.694734264,0.732704931,0.736471531,0.671301507,0.77047218,0.826347193,0.781806449,0.748795928,0.922520701,0.902980629,0.89303059,1.309415544,1.215177411,1.063284706,1.136713016,1.167423468,0,0,0
0.025834591,0.039145681,0.055629334,0.063978403,0.074155236,0.096614769,0.105654569,0.102075205,0.089537557,0.089167173,0.099389262,0.095303123,0.11363553,0.120574647,0.106033534,0.108944931,0.124926368,0.136062457,0.148176685,0.17763406,0.200320184,0.192203741,0.20866382,0.19590441,0.193812584,0.190387009,0.222399274,0.237051421,0.252174416,0.23397911,0.225447351,0.237943011,0.235208414,0.232419239,0.244422385,0.262797235,0.269590762,0.286307531,0.33855804,0.334236191,0.331846937,0.370924137,0.419076848,0.423759225,0.449772414,0.49464974,0.5324307,0.58906853,0.648526844,0.688909703,0.70109905,0.682688795,0.722344776,0.739237965,0.738093687,0.771183338,0.791880706,0.777833711,0.789927803,0.767265927,0.734364004,0.703224396,0.703212253,0.737665593,0.763185337,0.806727449,0.819210822,0.787188579,0.7575582,0.730432115,0.705662185,0.76625068,0.78664615,0.777389799,0.77469296,0.749613345,0.76811803,0.754965874,0.718428919,0.680584091,0.670145669,0.666241933,0.712855458,0.756618977,0.745180981,0.77269148,0.835246483,0.901242399,1.381848497,1.274919537,1.429258155,1.982409383,2.114897701,2.221991942,2.344794572,4.399707439,6.507026478,11.08315568,15.19033163,0
0.03234979,0.054988206,0.059543649,0.067094726,0.072294207,0.084909924,0.09886098,0.112524711,0.123909419,0.12596188,0.124661635,0.124216979,0.1344717,0.159906292,0.158286121,0.154564128,0.151513958,0.156129377,0.173935415,0.170025029,0.173899184,0.206101184,0.21094992,0.226635521,0.230709267,0.230868756,0.248506945,0.250902344,0.255859284,0.25552323,0.249661459,0.269119678,0.28141206,0.273053497,0.272667889,0.301300792,0.296795263,0.290815213,0.331054203,0.308615611,0.313075405,0.326657799,0.365845095,0.363160271,0.382271711,0.394942503,0.414713263,0.391582227,0.404789433,0.412217604,0.406393944,0.438020419,0.471386021,0.440735577,0.447752484,0.435937619,0.439385355,0.407373156,0.411471501,0.437829116,0.489901941,0.54129839,0.55935516,0.550406852,0.611842678,0.630571736,0.659069051,0.67820795,0.694543514,0.687399828,0.712178447,0.715449248,0.772116243,0.846998015,0.935471369,0.915888482,1.018066015,1.00314947,0.997572092,0.988538693,1.063901436,1.079083723,1.080460683,1.067786015,1.069145846,0.977678509,1.067333014,0,0.999775989,1.002661015,1.059183795,1.101897974,1.119335591,1.218711513,0,1.312934801,1.916268516,0,0,0
